Index,Series,Name,Epithets,Description,Image,ImageHash,InputHash,StaticHash
10,1,G’yathnä,The Mistress of Doom,"A demonic entity who can appear before men and speak prophecies. She can put curses upon the minds of all who hear her voice. She is described as blue, writing mass with twin heads.",./final-sprites/hope-sunset-familiar-nightclub-jeans-exhaust_clip_m6_OPT.gif,QmQR2NzNKkLzmUBr3GnEYZhUK72gBz3XfFzEMnBZuUdWG3,QmSmxeYAQsHeV5cY75ijruASZ4HpG64SskdTLVYUzBmJUm,Qmf59dJEn8ZiPKkcMsrkQgWsrxnUpFK8UqRG4UfgsVB5er
11,1,Huacas,The Magician Who Lived Through Eternity,A mystic scholar who may be from another world entirely. He is the only Ancient God left alive in the modern world. Many of his writings have mysteriously found their ways into libraries and studies across the world.,./final-sprites/transport-phenomenon-cyclooxygenase-net-serum-clarinet_clip_m1_OPT.gif,QmZBQsLZRfHkEgQ3baCNwMU3iv7WZJ4U1AawiLvYZz1wxZ,Qmbje3tHZNXnCYz3mfzFxQ2ZzpXNYtwWRCoviLC29euWud,QmPdRcuqZVq8RP5RDcCmbVZMPm65Bc5QUnhSwrMBs9sS6x
12,1,Zhar & Lloigor,"The Blue Cat and the Red Cat, The Two Watchers","Two gigantic entities which manifest as gigantic blue and red felines, with scaled and feathered wings. Together, they are locked in an endless game; it is said that they have each gambled one half of the world.",./final-sprites/coffee-minister-vaulting-reservoir-disadvantage-spree_clip_m1_OPT.gif,QmQYREMubL5Mjjuq5i3HNfwKUnHy5rPiL9wEtt6FASEE26,QmR7VG4etp7ueP1yoFw7uaZGCLckcf4qhkbTaTK5C8Wd2E,QmWZoquKPkzsu6rM8VqmLK9cXQApNFHWKW75469NctpGfr
13,1,X’l-rho,A Downed One,"A gigantic living mass of debris, rock and ships from the endless sea which Zä-thrathe drags barges from her mind into the material world and gulps down into the endless sea.",./final-sprites/literate-receipt-weasel-frequency-caution-glove_clip_m1_OPT.gif,QmVTZNtzumHtCZ9jVVnKkFyqq4GKaoN82PEspFCxvv5fgu,QmPRDQX7GekyKsispCZKJ4cRLxwhVBN3TbWEAqMLPZvqec,QmeioACRYNypUPwkUkRbRbVVJHJgUAuPNLYH41rcqAnscc
14,1,Shudde M’ell,"Burrower Beneath, The Worm that Gnaws One's Roots","A gigantic mass of tentacles and claws, with a complex mouth-like orifice, and eyes on stalks. It is said to have been the first Great Old One to evolve on Earth, and to have burrowed deep under the planet's crust, where it will eventually destroy all life on Earth.",./final-sprites/pass-bratwurst-advancement-exterior-TV-salmon_clip_m1_OPT.gif,QmZ3QDSP1Csj3zfsKwhbBjmiMENcGnzcfDEfYD9BP5aUP9,QmRwUvuDja6Ss2NNKUnBqsJhHaDMNyW6FdzzSVG77ACcaz,QmUvfuYFNeimNDJZsJZ2JQFwPauMod6E5QmDnWGwSy69Vy
15,1,Crethagu,"She Who Wins the Struggle, The Mother of Conquerors","A 'mother' of conquest, spoken of in the deep corridors of antiquity. She has conquered innumerable kingdoms, and is said to have either fathered or given birth to a new race of conquerors every few centuries. It is not known where she currently resides, but it is always said that there is no one greater than her in all the world.",./final-sprites/a_mon_9_clip_m1_OPT.gif,QmTWBCEj8Wurc2WGfgZwBYFPfr2FEBkCA9KwTcJV9UEpSB,QmcTZRpjWd9b4FkPSR5bGwx3r5cko9jqks5H5b81rjCjLp,QmNV5vCRac6wHod2bkRvwwtMEiLxFyWenBPYjaDR3MzsfD
16,1,Unsca Norna,"The Pilgrim, The One Who Dreams","A powerful wizard who had once vainly attempted to breach the gulf of Rhot in order to slay Zhar and Lloigor, and save the world from destruction. He was killed by his partner Pa'ch, but achieved his goal by lopping off Dluthos's head before his final battle, and mutilating the body of the World Dragon with his sword.",./final-sprites/b_mon_6_clip_m1_OPT.gif,QmPaDaVvNCpVakcvrp5L4iMU2RiTUm3GHkzCZTdAfJ5Zgh,QmV3Pbskd7D4DPmseyojXo4E8uzm6rbiPASh6b2TpU38n4,QmUjt5FoeqtM3sq8cYf12m5oSBnjmkd5FJtP2ndJDmiYPm
17,1,Phvithvre,The Protector of the Gates of the Flesh,"A monstrous entity which has the power of sealing and opening the gates of the flesh, keeping the living and the dead apart. Said to have manifested its avatars in much larger numbers around Xavala than in any other city.",./final-sprites/b_mon_11_clip_m1_OPT.gif,QmerrxMeZjLUcDcxdRWCg1pJxmjg8uByAKBsPwczyVEZhX,QmWYFJDqDuDrKikgAJj45Mr5gQ37dPywK6D5giFerT3oVG,QmbKLsZqQD3pgL7G6g34fYjRiioEhVPMwUpM3jU8wKi5kr
18,1,Yorae,The Mystery That Walks,"A scarlet, shifting humanoid that always looks to be made of smoke and haze, with a single, glowing eye. It is always seen carrying an oversized scythe adorned with frantic whispers.",./final-sprites/b_mon_21_clip_m1_OPT.gif,QmfKTiMKAoDRv3Ljcz5KkaBYzagtcyTUCEVLvanF6VZNi3,QmavyWUXwnpvgMHad2pXkALe1WHq9pJatFkqW67p7Nv5Jm,QmYTJmRN8pPuM6Nnpc7SzMmwc941GKWYjFSqLCmq1ic4e2
19,1,Ydheut,"The Intruder in the Throne Room,","A being of pure fire who cannot be destroyed. Ydheut has no gender, but it can replace the heart of any living thing with its own essence, killing the host and destroying their memories.",./final-sprites/claw-turban-TV-pheromone-palace-tandem_clip_m1_OPT.gif,QmPSxtyz6dZn4uvs77v2NJLALUBSaTDpCps5R8AZHXohCs,QmSwu6wHHHu8DYXZB9HXRpc2mnrAUYFQbbLHmzMgxxEKZq,QmeYZvxudT7nmVjDTnusn3ea8bLvqQ9quFWJ1qSDRN6dp3
20,1,Pa'ch,"God of Kings, The Shining Lord","An important God much worshiped by the Q’ero. He is the father of Ntánu Uryayar and a brother to three other Gods which were cast out of the realm of the Gods. His powers include healing and protection, and he has dominion over the land, the sea, the sky and death.",./final-sprites/porcupine-gold-administrator-diffuse-preparation-reluctance_norm_m1_OPT.gif,Qmd3GjPy8hzrrD87AakRRgJnTEsSmkPaUotRYJPYneUW7q,QmQJitWq2HjuBsrfm5W4zzsAowe5agM2pbeDg5a43Fh2cv,QmdUzxcW9aczH4P2urk4Vz5jitP46teBqVPTXTjWUCZ34V
21,1,Waärza,The Hidden Flower,"A gigantic entity with the appearance of an enormous, open flower. It is surrounded by smaller flowers which are in reality horrid monsters, and its pollen causes humans to become terrified. Those struck by it are turned into vines.",./final-sprites/rhubarb-gallon-maracas-scow-speaking-proportion_norm_m5_OPT.gif,QmfEd2aLYrLRtTbg5omCJqh4fhsBwHpSpMvg3YgSR5WV38,QmPCGrxrJ77VRzCMpmgFszFx9Ky2FXhHrNKtv8kfBA276Y,QmTtCSv1gtSUK9MAq2UG5y3iepDmJuYFHAKVYuhX5QeC4r
22,1,Chhnghu,The Unfortunate Prince,"An undead entity of unknown origin. It is said to have once been a prince who was murdered by a king seeking to consolidate power over his courtiers. The assembled souls of the royal court, in turn, cursed him. In death, he is doomed to walk the Earth until his soul departs his lifeless shell.",./final-sprites/major-league-warren-mailing-fourths-dill-trailpatrol_norm_m5_OPT.gif,QmVbW25cSjo2GREuRynvfujdYKqjZZhmSpjrNRctfveDev,QmeenofHLBmbPDvh6bf9pDwXXtuerGunDLYRjpurmV3qt2,QmRkYueKzSsnaggs31brcurxMnHYWEp1BjzSXKEUm2y4qU
23,1,Shi-Yvgaa,God of the Lightning Struck Tower,A being resembling a floating fish. Storms gather on its scales. Said to have had a tower constructed in its image on a small island.,./final-sprites/genetics-arithmetic-mall-subsidiary-variability-mess_clip_m1_OPT.gif,QmYgCbLhDCS2d9sER1A38PN5ReAhfEdDGq8UJbquhimBZW,QmSR9pWx9wHaD4tTyJrjGYrYkYwvBcBYieGqnhzwEJfHo1,QmZB7kHDcthBy4SszDmT2r3jvdkbcG9t4TfgShfn39t62x
24,1,Ximayya Xan,Mother of Camels,"A gigantic maroon camel. She is one of the greatest symbols of divinity, and the great-great-great-grandmother of all camels. It is believed that Apachita sent her as a sign of her favor, and that Ximayya Xan is a reflection of Apachita's true form.",./final-sprites/hazel-reveal-marten-hybridization-jealousy-mechanism_norm_m1_OPT.gif,QmUPnrxhPuBunudK5dubckhEocPpbfXvVcEiVvzMHPjiqP,QmXpXZWi7PQdZuYg1aBr8oDbgaVmSXY2D1rRDnjQ8Ax5zK,QmRWnQfhkUG7HwWBcpawjkXQ6D4szgj716ghErh4Lta8HN
25,1,l'Totoxl,The Speaker in Images,"A tyrannical, murderous priest-king who rules unopposed over Tihuanaco. He is said to possess magical abilities which grant him the power to commune with the dead and to project himself magically into other locations.",./final-sprites/prairie-quiver-cub-banyan-technology-storm_norm_m1_OPT.gif,QmWDDHe6GFYGscpUiryMxNWs49SksQWibK2b4sxXYoHpRx,Qmc3DYKkQX9tXfy4c5qzc6KKKSUYu1iEwZRNkZpgXRNTsR,Qmby5AM6vGvXcRBRN6Hn6bgtdQ97JBszNkGZ5A4hQEwwGg
26,1,Wakan,The Spirit That Watches Over the World,"A spirit said to watch over the world with indifference, from the highest mountain in the world, Mount Meru. It is depicted as a golem-like entity with an immense, vine-like body.",./final-sprites/bookmark-tackle-deformation-tornado-conception-fibrosis_clip_m6_OPT.gif,QmYyJbVi9XTfmqPbSqGVeRQFJNQg7cDbZXZu5FieZKQdBh,QmVQ1VjppWsuspouBKNB73Wk1K1U273zVAwJPuW8aEKK9N,QmPxegvoUWowcy2DqFGCMvWau2t7QhAbSBjs96ugjqoigH
27,1,Ythogtha,"The Thing in the Lake, The Bloated One, He Who Bloats","A huge, slimy, white being with writhing appendages. It is said to dwell within a lake in the Himalayas. The only known way of killing it is to strike it with a musical instrument made from a human spine.",./final-sprites/baritone-member-historian-causal-stimulation-mouser_norm_m1_OPT.gif,QmXF6vaFA3VcMK6E9RFpzhGfcDiMPqk12piJAYLuZjjUbG,QmSR9pWx9wHaD4tTyJrjGYrYkYwvBcBYieGqnhzwEJfHo1,QmQbZ6NWCCuZEYPFKszdQ3KUQdiKBkXUBpAmnMtpt1AfNK
28,1,Ub-ji,Lord of the Empty Sky,"Appears as an enormous, floating sphere of ghostly energy with glowing green eyes and a ghoulish face. She is an inscrutable god of death and magic, and those who dare raise a hand against her shall have their lives stolen from them.",./final-sprites/cathedral-breath-residue-possible-forebear-diaphragm_clip_m1_OPT.gif,QmQtsrDiZLz5tiCUmuQPjPqf6PeQANeABkoFC7MVL89eFU,Qmb3ZVTSX4bHR7WaRVeupnnnZ9wvov9HHA4zdpZVL8hcyi,QmXm5Nx1D1tya6xdLrkLCLGDBNh7vTmtUnY7NEScnCSQMj
29,1,Shuai’cha,The One that is Swallowed in Wrath,"A compressed entity of pure anger, destruction, and malice. He is thought to have been expelled from the realm of the gods in a fit of rage, and his only goal now is to destroy the heavens and the earth, and everything in them.",./final-sprites/gate-fiery-lantern-deficit-cushion-craw_clip_m1_OPT.gif,QmQrcN3nwbJdV1kbXrKsCS7YbUvNaWtfnwJNg5jPd1xsn7,QmUm6BeTkSu8brGG1ZwXENBuUihPGLX79whA9t1ZrKhjkQ,Qmf6DTDFArirH4ZY3DS7GS293gwZy6BnD3g15ZDTS56nWD
30,1,Sthümä,Resplendent Abomination,"A death-bringer who can bring his servants back to life by drowning them in his black, magical blood. His true form is said to be that of an immense cyclops with a black star for an eye.",./final-sprites/target-olive-destroyer-crash-hacienda-revenant_clip_m1_OPT.gif,QmWyijiFSgPPyi779Rk2NWFNpmYp16kF3Ln99x9x8pggzu,QmPcfHotn4MCtuMk5HnPSTEr2jjaonoGUZBNM9zs8Y9X9S,QmaKLnJy4SUNPqAA7HNMxef6SgRiycqJdEe2zMpME5CVDx
31,1,Senne'll,She Who Waits Behind the Wall,"An enormous, capricious entity capable of reshaping reality and rewriting the universe at will, who is said to be in a state of eternal slumber beneath a vast pool of water in the Arabian desert.",./final-sprites/cartridge-coverall-tank-top-organizing-flax-origin_norm_m0_OPT.gif,Qma4aP1ht3YsY3N6H7fH6vNw3NRQj9oP6M4JY33sXSMg1g,QmPCTkdEAsALUYQcdbmpbZrgCSMfgX9x7UsVFqtGCEn7JN,QmfViTrNPKp1RUiRLE2hosiDXUsw2JThyufN2tSYZzvSmd
32,1,Xyngogtha,Corpse God of the Sky,"A colossal, scarlet, vaguely humanoid corpse-like monstrosity with two great appendages tipped with a pair of wings each. It is said to be able to turn any slain army into a member of the armies it rules, and to spread disease wherever it treads.",./final-sprites/league-compliance-conifer-unibody-gearshift-apple_clip_m5_OPT.gif,QmUoFwvrLGCmCNnmFaqu5XoxGo87vxzY9c8HX1JhqPr5pz,QmdUwtdf3UwZhPcWi1Qw1DPoANdPcdPZQSz95tpc8sSX5w,QmZ7rpCjtAJ73tR3w1cR1XfLAGLkpykZTAZH4cNTWkyBDS
33,1,Slaaaof,The Greateaters,"Elongated entities which move through the cracks of the earth to devour humans. They are said to have no eyes or mouths, and to be blind and deaf. They can morph their bodies into any shape they desire. It is said that Sthümä, the ruler of the Black Moon, may have created them for this purpose.",./final-sprites/mime-vintage-macaroon-signup-beet-spouse_clip_m1_OPT.gif,QmeUKPYdrLtX6HT9KYa2es43KG5fzKz2uPBTZL4oAAKcM9,QmNdbWBnddCG6iiSQY9Vn32jE97qczBDvSaYGDBRTakTGV,QmcgiSqvJRVTjr8CENjxvFrEWRA4p6Y94CSpjJw4rh72V9
34,1,Thuuwäääääj,Guardian of the Forbidden City,A solitary winged entity guarding an entrance miles beneath the Earth. Carries a broadsword and is said to be immovable without a certain key.,./final-sprites/waterfall-teller-accommodation-fibroblast-depressive-resume_clip_m7_OPT.gif,QmfXL4oCY9EPDpnoHhoVjXivWuy3E3CFy6gh1burfhS82f,QmfMC6KFWut7MNYgAPcVAUe4Dk2MRzPzQ6pCHA7Nyno8jb,QmY3E4aMF81JwKdmZH6Gvy549A94hz3dCcRZtxb3vvCyEz
35,1,Ma’rathui,The Night Stalker,"The mother of the House of N’ghoo. A white, bat-like monster with three rows of thorns, eighteen fangs, no organs whatsoever. Saids to inhabit a blackness so deep that it stretches through the Earth.",./final-sprites/evening-wear-upward-choice-lining-thongs-nutrient_norm_m7_OPT.gif,QmPJWaSZ14hU829JqojQvm3owRceUsG83LsbbxkNQ75GgB,QmT3W39UNrwp74PVRGJBdmjCJffd3itNqy8fz968Wsh5J4,QmbLhJDudauAedz3TCb41opMeE5k4UDiWXdH2AtQqcmuc5
36,1,Näl'yü,The Weeping Goddess,"A small grey, wrinkled, female humanoid figure with a long, slender neck, and an extremely long, sharp, hair covered face and three eyes, two on top of her head and one on her forehead. She is described as ""looking like a blue crone or a hideous hag"". She is said to have a tremendous capacity to absorb energy.",./final-sprites/cub-expertise-detection-emanate-councilman-billing_clip_m1_OPT.gif,QmZoBdFGQQxpmX43mEBzgMZ5XtRFn6VgjiqQNVaRRtcS7f,QmRqp2YNb6RwosRUQESfKbrhUquf1wBJyELMSjGek9SYrQ,QmWhRvJAoytSzVUD9CGBh6NnJ53ReNZFwzUasts9P5GVWV
37,1,Ub-Nagh-Ui’th,"Guardian of the Between Lands, Child of the Great Void","A great, vaguely humanoid figure of pure darkness who guards the land between life and death. It is said to wield a powerful force which it uses to cut the threads of life of any that pass the threshold of death.",./final-sprites/host-development-ark-concentration-employ-laughter_clip_m1_OPT.gif,QmTa3GJpZycELVMckfH7hRFYen55zirxMt3YDqWFac62ws,QmdYyDrXGpFQdekhatQUQi2wtZ8FXciWjdXAfbXoPiGrin,QmQq5H71zAFjUQdtXpsT4S6EnXNhDt3qXJDY89mNEaemHs
38,1,Hgg-Tchïn,"The White Fever, The Pale Plague","A pale, pulsating entity which glows with an unearthly light. It is said to be a perpetrator of pestilence and makes those it infects feel lethargic and listless.",./final-sprites/gondola-core-locket-octagon-iron-spaghetti_clip_m0_OPT.gif,QmRkYXUKi1xHAyQbJYU36DhJNqdJGEGFnqau1cLXSovaiA,QmSR5ay2tBFfLR7BBAF9GxnQFsqXaCboqPNuaqi1mtenZd,QmfGBKbHDm9SX5UsTRxi9BNzp5AFJJXgPQ4cK8N9jx46CJ
39,1,Zanthu,Last and Greatest of the Gods,"An enigmatic figure very rarely mentioned. Said to be the one who brought forth the apocalypse, and to be both the cause and end of the Fourth World.",./final-sprites/fingernail-pumpkinseed-ear-insurance-freon-taro_clip_m5_OPT.gif,QmVRgKwQJKgpo9hDb6qyvnj55CLZhZYc8XQifbDKwwU2ZM,QmQAsxgteNXt3FtwKyYQxfdCcMFjZtz7YKe1yENFWn27C5,QmSv7dyHfdgjtSrj3exhbaANv4RuLJ6FLEpGgadiMueLvZ
40,1,Yögthü,The Ocean’s Regret,A giant tentacled monster which has appeared briefly at sea to fishermen in South America. It is said to guard an enormous treasure of gold and jewels.,./final-sprites/halt-violence-emergence-pattypan-whirlwind-shanty_clip_m5_OPT.gif,QmZNvs4cRcrrVHAZnJLhFPieTWsMsUzG5xmcA45fTvAtg6,QmaxosVKicZ3MpkRmouW9edFsV3txdib3K8CQqK98P2unv,QmT6fLFPqPwjHDSdeJLdbUddamK2XbrYBfGn22RYbdVa71
41,1,Zhi-zhun-shi,Voice from the Outermost Vortex,"Appearing as a red humanoid with three eyes and a thin mouth, and four arms. He is accompanied by the sound of howling winds.",./final-sprites/hike-right-bass-mom-macrofauna-initialise_clip_m1_OPT.gif,QmPctrP7pbKHuPqux6bCkyyfFTxza7L7w1erREz57qiNGc,QmRjoXfPaeCJUeWjMsLfLUFkicQvXkJVWHgjnHWMFB8T5N,QmWkxh8vH5LSMXhv3HBqp9ybieB7onrsvbuZEtey57ft24
42,1,Ornan Unsca,The Mad Mage,"A depraved wizard who has done terrible things in her pursuit of power. It is believed that Ornan Unsca has been undead since before recorded history, and that she may have been born from the corpse of the legendary wizard Dluthos. She is the leader of the Cult of Zhar & Lloigor.",./final-sprites/aftershave-celsius-flytrap-fall-short-cofactor_clip_m1_OPT.gif,QmWaq7uZHNsAH9rYcrG1uy7BejvCodCbu6hH9PHbRQURBB,QmcHLk9nGi56MYjvaiiREtV68ZapZghi2QThjPgtRHE8iK,QmQJYz2uwuaLAGfdcLJ71QoXmWgBQcpPQuKz4ufkFfP4SJ
43,1,Arkathhuacht,The Ancient One Whose Name Defies True Transcription,"A massive, amorphous blob covered in stars, a towering figure shrouded in clouds larger than mountains. A sleeping deity, described as an enormous blue eyeless figure with flightless wings.",./final-sprites/calculus-subexpression-digestive-armadillo-brother-silicon_clip_m0_OPT.gif,QmU52yn2Sx6AdorKztbz5dhiEu61LL4J2Xqkj5h5fwU5z4,QmdBKnEPV9Gqi9zcHSHnvzzv5MqBmR77k3kZHP43QkGyhX,QmbtjHhniZ2MpnSqWZMAZbX18nJcnF2Va1c6mU8U7sVFLo
44,1,Ub-Toth,The Hiss in the Mist,"A serpentine entity described as ""the manifestation of treachery"". It feeds on the souls of men, infecting others with its bile.",./final-sprites/chess-goddess-fact-comestible-downgrade-precedence_clip_m1_OPT.gif,QmWPVcrL1iaRkEXMSXEGkqCd7V7A54HqnRcnQWKaRBsAy2,QmcP58MQAwEYAYfYiDi93J3F4ERemSLuGt3vhPeThfeBqc,QmUceosXtqSs1zhjtpXT9HzN8pSnSzSDosG2G1iDvmL1GY
45,1,Nainoa,Guardian of the Sacred Heart,A scarlet god who guards a mysterious artifact known only as 'The Sacred Heart'. It is said to grant immortality to those who possess it.,./final-sprites/chowder-glacier-salad-process-mean-propane_clip_m5_OPT.gif,QmdxfRsF4Hb82btop6AjHCED4BdKzNKpHL4Jh86CUWvpk2,QmX61bkzJmq73MQd4YyoKLkigD8JJUsH8VWAm4vTMU1Mj5,QmbuZBZCi2mnAt97f7mEaWUB4BMd2foyiobnKCLYc8ub5j
46,1,Rth’gnhh,Justiciar of the Worm,"A great steed with a long tongue, and a mighty forked tail. It looks down upon humans and the other gods from a great height, and was almost weighed in the balance with them at the creation of the universe.",./final-sprites/simplicity-cholesterol-title-cemetery-styling-stot_norm_m1_OPT.gif,Qmf4Wj3ymcZoYJxzPmVJkmTMKhKemuB9vqKmLYhG2BtaqX,QmdkmTxp3RYUEJ2djy66XTYv7mFeqRCUEvMC4wBLdGVZ2F,QmSQ2XXEUH1QjvUFUzHzT5iWPQZwXwfU4hBanCd9zNGFD2
47,1,C'zshuai,The Insatiable One,"An ancient, primordial deity described as a 'darkness between the stars'. It exists in a state of perpetual hunger, and is said to have devoured much of the universe in its wrath during the last of the world-ending cataclysms. In the present day, its hunger seems to have mysteriously abated for now.",./final-sprites/duckling-daffodil-visual-pomegranate-boatload-lynx_norm_m1_OPT.gif,QmQRh3B95dvSR97TeysvvkHAhLPsQX7UCPdgnbLa7wxRLB,QmeuRGbZcGtn2LG6RXbFsCweQnY1yKzW4PGhHaak3yNsmb,Qmby1cBw3iwCZJuMrDDgnNFQQZCeDGaLUJX3oPduLXJKkq
48,1,Ub-Yaghoth,Mother of the Forest,"A colossal tree-like entity with roots everywhere and a mass of eyes at its crown. She lives in the heart of the Old Forest, where she was once worshipped by the aboriginals of the region.",./final-sprites/economics-wine-organisation-well-death-cleat_norm_m7_OPT.gif,QmNib5u4JRnozVvh3EUUJLMwoXQF1J2McwbEoqq3VLgtgf,QmRWeseoMygWyaF6ZBHqwiKDTPfDj1f9q95gQeX9swmCWV,QmRSw1odnDBcXwPKfKSMQBQVJMTopQthvARinK6woreyXL
49,1,Hölghor,God of the Steely Blood,"A god of Einjerih dedicated to war, bloodlust and horror. He appears as a gigantic, gangly being with a humanoid head and splotches of green.",./final-sprites/cream-honeydew-slipper-storage-government-apology_clip_m1_OPT.gif,QmQ71zjSAMB5A9A9ytrQT7kyVuHiGANv4TPvz2KT6mJmuu,QmXRCArhfsNe76TZU69HgsY1FiyDUXZgiFEseDS8LHBZfm,QmeyCaXn4m5BRELTJ9nbRcyRZCVy7qZfFcsbR4qh49Q8pd
50,1,Bä-Hth’lthgha,The Gilded Idol,"A golden statue with two shining, malevolent eyes and a blue tongue. It can appear within dreams, and its touch is said to be lethal.",./final-sprites/printer-atrium-main-doughnut-disparity-stepdaughter_clip_m1_OPT.gif,QmP842eyDuhkQcQYNSCPpavkzAP2roNyAX45xBB27UXowN,QmV4YYz988zCR2bcajGi4Y1uzQcuLJCvW3P4vpZ8icWU77,QmeHX5FmtHTn8LMfHKYmCeHpqU1UYRKXJd3Qq1h8E5JAKv
